Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,1557.400024,1570.400024,1552.300049,1568.300049,1568.300049,35031547
2019-09-24,1566.099976,1568.500000,1530.300049,1539.400024,1539.400024,48409327
2019-09-25,1540.800049,1556.500000,1529.400024,1552.300049,1552.300049,48357166
2019-09-26,1551.199951,1558.599976,1531.599976,1537.000000,1537.000000,40587742
2019-09-27,1534.599976,1544.599976,1516.599976,1525.900024,1525.900024,39601283
2019-09-29,1529.800049,1532.599976,1525.300049,1527.699951,1527.699951,98316
2019-09-30,1531.900024,1534.199951,1519.500000,1527.599976,1527.599976,34638726
2019-10-01,1531.699951,1545.000000,1491.199951,1497.900024,1497.900024,54531019
2019-10-02,1498.599976,1498.900024,1468.500000,1480.000000,1480.000000,53338679
2019-10-03,1481.599976,1489.199951,1459.000000,1483.900024,1483.900024,50125794
2019-10-04,1484.400024,1502.400024,1477.699951,1500.400024,1500.400024,37054780
2019-10-06,1490.699951,1495.699951,1487.500000,1494.000000,1494.000000,117613
2019-10-07,1492.699951,1510.699951,1491.000000,1499.099976,1499.099976,32206865
2019-10-08,1503.900024,1505.400024,1470.300049,1474.199951,1474.199951,42109810
2019-10-09,1478.699951,1490.599976,1462.699951,1466.599976,1466.599976,30588314
2019-10-10,1479.300049,1497.599976,1476.199951,1490.300049,1490.300049,44322319
2019-10-11,1493.699951,1529.800049,1492.699951,1512.900024,1512.900024,50885159
2019-10-13,1510.400024,1519.900024,1510.400024,1519.599976,1519.599976,45609
2019-10-14,1516.500000,1517.800049,1500.800049,1510.500000,1510.500000,24038130
2019-10-15,1509.500000,1531.400024,1507.699951,1524.300049,1524.300049,28698224
2019-10-16,1520.199951,1532.599976,1517.300049,1523.300049,1523.300049,26043592
2019-10-17,1523.599976,1545.000000,1521.300049,1541.400024,1541.400024,31161859
2019-10-18,1539.699951,1544.900024,1524.199951,1537.300049,1537.300049,28941625
2019-10-20,1534.699951,1538.900024,1534.199951,1538.400024,1538.400024,42620
2019-10-21,1542.099976,1559.900024,1538.699951,1551.300049,1551.300049,32784537
2019-10-22,1555.500000,1560.599976,1547.099976,1550.900024,1550.900024,24116233
